"","Company","Precio.mediana","Precio.promedio","Precio.maxima","Precio.minima","Recuento"
"1","Acer",613,652.262747252747,2599,174,91
"2","Apple",1339.69,1564.19857142857,2858,898.94,21
"3","Asus",1094,1142.61085106383,3975,191.9,141
"4","Chuwi",248.9,314.296666666667,449,244.99,3
"5","Dell",999,1199.22512027491,3659.4,274.9,291
"6","Fujitsu",739,729,799,649,3
"7","Google",1559,1677.66666666667,2199,1275,3
"8","HP",1049.26,1136.99697959184,4389,209,245
"9","Huawei",1424,1424,1499,1349,2
"10","LG",2099,2099,2299,1899,3
"11","Lenovo",949,1127.34289377289,4899,229,273
"12","MSI",1599,1728.90814814815,2799,839,54
"13","Mediacom",265,295,389,239,7
"14","Microsoft",1569.5,1612.30833333333,2589,989,6
"15","Razer",2899,3346.14285714286,6099,1029,7
"16","Samsung",1674,1507.75,1849,269,8
"17","Toshiba",1211.5,1267.8125,2799,447,48
"18","Vero",206.85,217.425,260,196,4
"19","Xiaomi",1099.45,1133.4625,1399.95,935,4
